=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.05.17 15:34:36 =~=~=~=~=~=~=~=~=~=~=~=,,
HX711 Pressure Measurements,,
,n,Readings:
,0,2.2
,1,4.7
,2,10
,3,13.2
,4,12.9
,5,12.2
,6,11.8
,7,11.5
,8,11.4
,9,12.1
,10,16.3
,11,23.2
,12,25.8
,13,24.4
,14,23.2
,15,22.5
,16,22
,17,21.8
,18,22.5
,19,27.3
,20,36
,21,40.5
,22,39.4
,23,38.1
,24,37.4
,25,39.8
,26,50.4
,27,59.1
,28,58.4
,29,56.4
,30,55.2
,31,54.4
,32,53.8
,33,53.6
,34,53.3
,35,52.8
,36,52.3
,37,52.2
,38,55.6
,39,65
,40,70.2
,41,69.8
,42,68.8
,43,67.7
,44,66.9
,45,66.6
,46,70.7
,47,81.6
,48,87.9
,49,87.6
,50,86.5
,51,85.2
,52,84
,53,83.5
,54,87.5
,55,97.6
,56,102.9
,57,102.3
,58,100.8
,59,99.3
,60,98.5
,61,98.3
,62,102.3
,63,110.5
,64,114.1
,65,113.1
,66,111.7
,67,110.7
,68,109.9
,69,110
,70,115.2
,71,125.4
,72,130.8
,73,129.8
,74,128.3
,75,127.2
,76,126.5
,77,126
,78,125.5
,79,125.1
,80,124.9
,81,124.5
,82,124
,83,123.7
,84,123.4
,85,123.2
,86,124.8
,87,128.9
,88,131.9
,89,131.8
,90,131
,91,130.5
,92,130
,93,129.6
,94,129.2
,95,128.9
,96,128.8
,97,128.5
,98,128.1
,99,127.9
,100,127.7
,101,127.5
,102,127.3
,103,127.3
,104,127.2
,105,126.9
,106,126.7
,107,126.6
,108,126.4
,109,126.2
,110,126
,111,126.1
,112,125.9
,113,125.6
,114,125.4
,115,125.2
,116,125
,117,124.8
,118,124.7
,119,124.8
,120,124.6
,121,124.3
,122,124.2
,123,124
,124,123.9
,125,123.7
,126,123.8
,127,123.8
,128,123.5
,129,123.4
,130,123.3
,131,123.2
,132,123.1
,133,123
,134,123.2
,135,123.2
,136,123
,137,122.9
,138,122.8
,139,122.7
,140,122.5
,141,122.4
,142,122.5
,143,122.3
,144,121.9
,145,121.8
,146,121.6
,147,121.2
,148,120.7
,149,120.2
,150,119.6
,151,118.7
,152,117.8
,153,116.9
,154,115.8
,155,114.4
,156,113
,157,112
,158,111.1
,159,110
,160,109.6
,161,109.6
,162,109.5
,163,109.4
,164,109.4
,165,109.6
,166,109.7
,167,109.2
,168,108.9
,169,108.7
,170,108.3
,171,108
,172,107.9
,173,108.2
,174,107.9
,175,107.2
,176,106.8
,177,106.5
,178,106.1
,179,105.8
